waktu belajar;cukup atau tidak
45;Tidak
50;Tidak
90;Tidak
90;Tidak
240;Ya
180;Tidak
240;Tidak
90;Tidak
90;Tidak
120;Tidak
60;Tidak
120;Tidak
300;Tidak
35;Ya
180;Tidak
60;Tidak
90;Tidak
60;Tidak
180;Tidak
180;Tidak
180;Tidak
120;Tidak
30;Tidak
50;Tidak
120;Tidak
120;Tidak
90;Tidak
45;Tidak
30;Tidak
120;Tidak
30;Tidak
120;Tidak
